seq,title,member,suffix,method,artifact_type,chars,has_task_prompt,has_evaluation_form,terms
20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),경험면접 과제.hwp,.hwp,경험면접,task,12816,True,False,"을 분석한 경험에 대하여 말씀해 주시기 바랍니다. (관련 경력이 없을 경우 유사 경험, 관련 교육과정 중 해당 사례의 학습 경험을 질문) G."
20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,evaluation_form,7329,False,True,을 파악할 수 있다. 평균 점수 ■ 평가 주안점 | • 정보통신기기 이론 • 설계기준 • 시장동향 분석 • 회로설계에 대한 국내외 규격 | •; 평가양식
20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),발표면접 과제.hwp,.hwp,발표면접,task,6863,True,False,
20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),발표면접 평가양식.hwp,.hwp,발표면접,evaluation_form,6339,True,True,을 파악할 수 있다. 평균 점수 ■ 평가 주안점 | • 정보통신기기 이론 • 설계기준 • 시장동향 분석 • 회로설계에 대한 국내외 규격 | •; 평가양식
20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),상황면접 과제.hwp,.hwp,상황면접,task,11383,True,False,을 선정할 때 특히 고려해야 할 요소를 말씀해 주시기 바랍니다. G. 정보통신기기를 개발시 적용 가능한 자사의 보유 기술을 파악할 때 가장 핵심
20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),상황면접 평가양식.hwp,.hwp,상황면접,evaluation_form,7294,False,True,을 파악할 수 있다. 평균 점수 ■ 평가 주안점 | • 정보통신기기 이론 • 설계기준 • 시장동향 분석 • 회로설계에 대한 국내외 규격 | •; 평가양식
20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),토론면접 과제.hwp,.hwp,토론면접,task,2622,True,False,
20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),토론면접 평가양식.hwp,.hwp,토론면접,evaluation_form,7327,True,True,을 파악할 수 있다. 평균 점수 ■ 평가 주안점 | • 정보통신기기 이론 • 설계기준 • 시장동향 분석 • 회로설계에 대한 국내외 규격 | •; 평가양식
20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),경험면접 과제.hwp,.hwp,경험면접,task,11151,True,False,
20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,evaluation_form,7625,False,True,평가양식
20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),발표면접 과제.hwp,.hwp,발표면접,task,6339,True,False,
20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),발표면접 평가양식.hwp,.hwp,발표면접,evaluation_form,6677,True,True,평가양식
20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),상황면접 과제.hwp,.hwp,상황면접,task,10235,True,False,
20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),상황면접 평가양식.hwp,.hwp,상황면접,evaluation_form,7615,False,True,평가양식
20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),토론면접 과제.hwp,.hwp,토론면접,task,4351,True,False,
20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),토론면접 평가양식.hwp,.hwp,토론면접,evaluation_form,7679,True,True,평가양식
20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_경험면접 과제.hwp,.hwp,경험면접,task,11542,True,False,
20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_경험면접 평가양식.hwp,.hwp,경험면접,evaluation_form,1757,False,True,평가양식
20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_발표면접 과제.hwp,.hwp,발표면접,task,9609,True,False,
20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_발표면접 평가양식.hwp,.hwp,발표면접,evaluation_form,1221,True,True,평가양식
20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_상황면접 과제.hwp,.hwp,상황면접,task,9975,True,False,
20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_상황면접 평가양식.hwp,.hwp,상황면접,evaluation_form,922,False,True,평가양식
20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_토론면접 과제.hwp,.hwp,토론면접,task,5825,True,False,
20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_토론면접 평가양식.hwp,.hwp,토론면접,evaluation_form,1757,True,True,평가양식
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),경험면접 과제.hwp,.hwp,경험면접,task,11314,True,False,
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,evaluation_form,7949,False,True,평가양식
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),발표면접 과제.hwp,.hwp,발표면접,task,6146,True,False,
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),발표면접 평가양식.hwp,.hwp,발표면접,evaluation_form,6969,True,True,평가양식
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),상황면접 과제.hwp,.hwp,상황면접,task,10411,True,False,
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),상황면접 평가양식.hwp,.hwp,상황면접,evaluation_form,7899,False,True,평가양식
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),토론면접 과제.hwp,.hwp,토론면접,task,2591,True,False,
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),토론면접 평가양식.hwp,.hwp,토론면접,evaluation_form,7957,True,True,평가양식
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_경험면접 과제.hwp,.hwp,경험면접,task,12475,True,False,"에 따라 판정해 본 경험에 대하여 말씀해 주시기 바랍니다. (관련 경력이 없을 경우 유사 경험, 관련 교육과정 중 해당 사례의 학습 경험을 질문"
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_경험면접 평가양식.hwp,.hwp,경험면접,evaluation_form,1674,False,True,평가양식
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_발표면접 과제.hwp,.hwp,발표면접,task,10089,True,False,
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_발표면접 평가양식.hwp,.hwp,발표면접,evaluation_form,1061,True,True,평가양식
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_상황면접 과제.hwp,.hwp,상황면접,task,10611,True,False,을 어떻게 설정할지 말씀해 주시기 바랍니다. I. 자율주행 환경 조건에 대한 상황 판단과 경로생성 제어모듈의 분석결과를 판정하는 단계입니다. 성; 을 어떻게 설정할지 말씀해 주시기 바랍니다. J. 자율주행 환경 조건에 대한 동적 제어모듈의 분석 결과를 판정하는 단계입니다. 성능평가 항목을
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_상황면접 평가양식.hwp,.hwp,상황면접,evaluation_form,843,False,True,평가양식
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_토론면접 과제.hwp,.hwp,토론면접,task,5048,True,False,
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_토론면접 평가양식.hwp,.hwp,토론면접,evaluation_form,1674,True,True,평가양식
