collection,collection_id,lib_dstin_cd,menu_id,seq,title,ncs_code_hint,detail_label_hint,view_text,member_count,methods,task_methods,evaluation_methods,method_count,artifact_types,pairing_scope,has_task_and_eval_material,has_task_and_eval_pairs,archive,download_path,download_suffix,container_type,warnings
채용모델 면접문항,interview-model,49,MN02020303,20210514155531876,19-1-6. 전기설비설계감리(경험면접),19-01-06,전기설비설계감리,19-1-6. 전기설비설계감리(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155531876_19-1-6. 전기설비설계감리(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514155531876_19-1-6. 전기설비설계감리(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155413020,15-5-1. 기계장비설치정비(토론면접),15-05-01,기계장비설치정비,15-5-1. 기계장비설치정비(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155413020_15-5-1. 기계장비설치정비(토론면접).zip,.tmp\ncs_official_interview_samples\20210514155413020_15-5-1. 기계장비설치정비(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155339419,15-5-1. 기계장비설치정비(상황면접),15-05-01,기계장비설치정비,15-5-1. 기계장비설치정비(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155339419_15-5-1. 기계장비설치정비(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514155339419_15-5-1. 기계장비설치정비(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155319781,15-5-1. 기계장비설치정비(발표면접),15-05-01,기계장비설치정비,15-5-1. 기계장비설치정비(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155319781_15-5-1. 기계장비설치정비(발표면접).zip,.tmp\ncs_official_interview_samples\20210514155319781_15-5-1. 기계장비설치정비(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155256015,15-5-1. 기계장비설치정비(경험면접),15-05-01,기계장비설치정비,15-5-1. 기계장비설치정비(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155256015_15-5-1. 기계장비설치정비(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514155256015_15-5-1. 기계장비설치정비(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155218319,15-3-1. 기계조립(토론면접),15-03-01,기계조립,15-3-1. 기계조립(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155218319_15-3-1. 기계조립(토론면접).zip,.tmp\ncs_official_interview_samples\20210514155218319_15-3-1. 기계조립(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155152476,15-3-1. 기계조립(상황면접),15-03-01,기계조립,15-3-1. 기계조립(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155152476_15-3-1. 기계조립(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514155152476_15-3-1. 기계조립(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155131656,15-3-1. 기계조립(발표면접),15-03-01,기계조립,15-3-1. 기계조립(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155131656_15-3-1. 기계조립(발표면접).zip,.tmp\ncs_official_interview_samples\20210514155131656_15-3-1. 기계조립(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155105084,15-3-1. 기계조립(경험면접),15-03-01,기계조립,15-3-1. 기계조립(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155105084_15-3-1. 기계조립(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514155105084_15-3-1. 기계조립(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155025488,14-3-2. 건축시공(토론면접),14-03-02,건축시공,14-3-2. 건축시공(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155025488_14-3-2. 건축시공(토론면접).zip,.tmp\ncs_official_interview_samples\20210514155025488_14-3-2. 건축시공(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514154956719,14-3-2. 건축시공(상황면접),14-03-02,건축시공,14-3-2. 건축시공(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514154956719_14-3-2. 건축시공(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514154956719_14-3-2. 건축시공(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514154938308,14-3-2. 건축시공(발표면접),14-03-02,건축시공,14-3-2. 건축시공(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514154938308_14-3-2. 건축시공(발표면접).zip,.tmp\ncs_official_interview_samples\20210514154938308_14-3-2. 건축시공(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514154913910,14-3-2. 건축시공(경험면접),14-03-02,건축시공,14-3-2. 건축시공(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514154913910_14-3-2. 건축시공(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514154913910_14-3-2. 건축시공(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514154837243,13-1-1. 음식조리(토론면접),13-01-01,음식조리,13-1-1. 음식조리(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514154837243_13-1-1. 음식조리(토론면접).zip,.tmp\ncs_official_interview_samples\20210514154837243_13-1-1. 음식조리(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514154810012,13-1-1. 음식조리(상황면접),13-01-01,음식조리,13-1-1. 음식조리(상황면접),1,상황면접,,상황면접,1,evaluation_form,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514154810012_13-1-1. 음식조리(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514154810012_13-1-1. 음식조리(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514154752218,13-1-1. 음식조리(발표면접),13-01-01,음식조리,13-1-1. 음식조리(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514154752218_13-1-1. 음식조리(발표면접).zip,.tmp\ncs_official_interview_samples\20210514154752218_13-1-1. 음식조리(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514154717560,13-1-1. 음식조리(경험면접),13-01-01,음식조리,13-1-1. 음식조리(경험면접),1,경험면접,,경험면접,1,evaluation_form,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514154717560_13-1-1. 음식조리(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514154717560_13-1-1. 음식조리(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514150552711,10-2-4. 감정평가(토론면접),10-02-04,감정평가,10-2-4. 감정평가(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514150552711_10-2-4. 감정평가(토론면접).zip,.tmp\ncs_official_interview_samples\20210514150552711_10-2-4. 감정평가(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514150529245,10-2-4. 감정평가(상황면접),10-02-04,감정평가,10-2-4. 감정평가(상황면접),1,상황면접,,상황면접,1,evaluation_form,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514150529245_10-2-4. 감정평가(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514150529245_10-2-4. 감정평가(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514150508001,10-2-4. 감정평가(발표면접),10-02-04,감정평가,10-2-4. 감정평가(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514150508001_10-2-4. 감정평가(발표면접).zip,.tmp\ncs_official_interview_samples\20210514150508001_10-2-4. 감정평가(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514150341901,10-2-4. 감정평가(경험면접),10-02-04,감정평가,10-2-4. 감정평가(경험면접),1,경험면접,,경험면접,1,evaluation_form,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514150341901_10-2-4. 감정평가(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514150341901_10-2-4. 감정평가(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514150306649,8-2-1. 디자인(토론면접),08-02-01,디자인,8-2-1. 디자인(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514150306649_8-2-1. 디자인(토론면접).zip,.tmp\ncs_official_interview_samples\20210514150306649_8-2-1. 디자인(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514150236881,8-2-1. 디자인(상황면접),08-02-01,디자인,8-2-1. 디자인(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514150236881_8-2-1. 디자인(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514150236881_8-2-1. 디자인(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514150220027,8-2-1. 디자인(발표면접),08-02-01,디자인,8-2-1. 디자인(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; job_posting; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514150220027_8-2-1. 디자인(발표면접).zip,.tmp\ncs_official_interview_samples\20210514150220027_8-2-1. 디자인(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514150144217,8-2-1. 디자인(경험면접),08-02-01,디자인,8-2-1. 디자인(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514150144217_8-2-1. 디자인(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514150144217_8-2-1. 디자인(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514150102034,4-3-1. 직업교육(토론면접),04-03-01,직업교육,4-3-1. 직업교육(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; job_description; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514150102034_4-3-1. 직업교육(토론면접).zip,.tmp\ncs_official_interview_samples\20210514150102034_4-3-1. 직업교육(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514150021301,4-3-1. 직업교육(상황면접),04-03-01,직업교육,4-3-1. 직업교육(상황면접),1,상황면접,,,1,job_description,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514150021301_4-3-1. 직업교육(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514150021301_4-3-1. 직업교육(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514145959001,4-3-1. 직업교육(발표면접),04-03-01,직업교육,4-3-1. 직업교육(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514145959001_4-3-1. 직업교육(발표면접).zip,.tmp\ncs_official_interview_samples\20210514145959001_4-3-1. 직업교육(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514145925164,4-3-1. 직업교육(경험면접),04-03-01,직업교육,4-3-1. 직업교육(경험면접),1,경험면접,,,1,job_description,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514145925164_4-3-1. 직업교육(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514145925164_4-3-1. 직업교육(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514145216768,3-2-3. 손해사정(토론면접),03-02-03,손해사정,3-2-3. 손해사정(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514145216768_3-2-3. 손해사정(토론면접).zip,.tmp\ncs_official_interview_samples\20210514145216768_3-2-3. 손해사정(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514145141342,3-2-3. 손해사정(상황면접),03-02-03,손해사정,3-2-3. 손해사정(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514145141342_3-2-3. 손해사정(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514145141342_3-2-3. 손해사정(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514145121300,3-2-3. 손해사정(발표면접),03-02-03,손해사정,3-2-3. 손해사정(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514145121300_3-2-3. 손해사정(발표면접).zip,.tmp\ncs_official_interview_samples\20210514145121300_3-2-3. 손해사정(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514145040838,3-2-3. 손해사정(경험면접),03-02-03,손해사정,3-2-3. 손해사정(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514145040838_3-2-3. 손해사정(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514145040838_3-2-3. 손해사정(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514144951678,3-2-2. 보험영업계약(토론면접),03-02-02,보험영업계약,3-2-2. 보험영업계약(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514144951678_3-2-2. 보험영업계약(토론면접).zip,.tmp\ncs_official_interview_samples\20210514144951678_3-2-2. 보험영업계약(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514144910112,3-2-2. 보험영업계약(상황면접),03-02-02,보험영업계약,3-2-2. 보험영업계약(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514144910112_3-2-2. 보험영업계약(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514144910112_3-2-2. 보험영업계약(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514144850448,3-2-2. 보험영업계약(발표면접),03-02-02,보험영업계약,3-2-2. 보험영업계약(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514144850448_3-2-2. 보험영업계약(발표면접).zip,.tmp\ncs_official_interview_samples\20210514144850448_3-2-2. 보험영업계약(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514144813401,3-2-2. 보험영업계약(경험면접),03-02-02,보험영업계약,3-2-2. 보험영업계약(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514144813401_3-2-2. 보험영업계약(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514144813401_3-2-2. 보험영업계약(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514144734974,3-2-1. 보험상품개발(토론면접),03-02-01,보험상품개발,3-2-1. 보험상품개발(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514144734974_3-2-1. 보험상품개발(토론면접).zip,.tmp\ncs_official_interview_samples\20210514144734974_3-2-1. 보험상품개발(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514144650307,3-2-1. 보험상품개발(상황면접),03-02-01,보험상품개발,3-2-1. 보험상품개발(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514144650307_3-2-1. 보험상품개발(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514144650307_3-2-1. 보험상품개발(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514144630168,3-2-1. 보험상품개발(발표면접),03-02-01,보험상품개발,3-2-1. 보험상품개발(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514144630168_3-2-1. 보험상품개발(발표면접).zip,.tmp\ncs_official_interview_samples\20210514144630168_3-2-1. 보험상품개발(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514144514563,3-2-1. 보험상품개발(경험면접),03-02-01,보험상품개발,3-2-1. 보험상품개발(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514144514563_3-2-1. 보험상품개발(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514144514563_3-2-1. 보험상품개발(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514144431688,3-1-6. 증권외환(토론면접),03-01-06,증권외환,3-1-6. 증권외환(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514144431688_3-1-6. 증권외환(토론면접).zip,.tmp\ncs_official_interview_samples\20210514144431688_3-1-6. 증권외환(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514144345074,3-1-6. 증권외환(상황면접),03-01-06,증권외환,3-1-6. 증권외환(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514144345074_3-1-6. 증권외환(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514144345074_3-1-6. 증권외환(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514144327209,3-1-6. 증권외환(발표면접),03-01-06,증권외환,3-1-6. 증권외환(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514144327209_3-1-6. 증권외환(발표면접).zip,.tmp\ncs_official_interview_samples\20210514144327209_3-1-6. 증권외환(발표면접).zip,.zip,zip,
